Timestamp,Amount,Currency,Sender_ID,Recipient_ID,Sender_Country_Code,Recipient_Country_Code,Transaction_Type,Device_Type,Transactions_Last_24H,Avg_Transaction_Value_Last_30D,Is_New_Recipient,Is_Anomaly
2025-09-03 22:19:02.917852,548.12,USD,61c6db62-5648-4a64-854c-6e8801fd512d,7790c4fe-80e1-4535-ad28-e28c1bc36d45,AR,PL,Payment,Mobile,3,465.04,0,0
2025-09-12 04:50:18.543452,372.65,USD,07271266-a538-4eea-9e90-dc5a998ba340,787634a7-5e66-429b-96b1-a97661bef1c1,TD,MY,Transfer,Desktop,10,451.6,0,0
2025-09-08 10:26:54.181189,333.28,USD,f6b9a745-2bba-4b9e-bda1-3d06165477fb,b1dcb89d-dd0e-4e32-b767-c034f978d19e,GR,KR,Transfer,Mobile,4,325.21,1,0
2025-09-27 02:46:11.588029,83.54,USD,805e1a0b-6eac-45ee-8017-d43750c10236,3e63a4b2-883b-4322-b0b8-cb62fd82fa55,LA,KP,Transfer,Desktop,3,82.17,1,0
2025-09-09 17:05:56.689200,128.63,USD,6cca052b-b428-4869-b4e9-cf71881374f4,8445f7dd-2a10-444e-9599-d27cf96af589,GT,MY,Payment,Mobile,10,177.09,1,0
2025-09-01 01:51:08.678901,511.97,USD,b808fed9-50b3-430f-9491-2281ed2f9a62,c4be6296-18ca-41dc-bac0-37fc52bb914a,VU,NA,Payment,Desktop,10,413.53,0,0
2025-09-16 14:23:33.715731,547.8,USD,434f3d63-77ec-470f-831a-a914438ed0df,b717129f-c3d6-4f05-a665-47a83ed18b1b,PL,SC,Transfer,Mobile,8,335.29,0,0
2025-09-02 00:50:04.149176,231.65,USD,0ea06e97-5122-43d7-aad8-d620767c65e3,c0ba2a92-bfd6-4b0f-b3a2-cc82db1c61a0,AL,TL,Transfer,Desktop,6,164.25,1,0
2025-09-03 08:48:22.785296,227.41,USD,02a7dcd5-1a68-4349-8cd6-8738c51dda9f,603e83f1-2c0c-43d3-8c4b-194250cb50cc,DE,EC,Payment,Mobile,4,199.75,1,0
2025-09-12 06:50:14.478511,667.75,USD,ade1ec2a-2d13-4227-8bf5-419dc6c9c076,dfa10e4a-dd13-4040-b000-8dd737b61b40,BB,SE,Transfer,Mobile,1,833.62,0,0
2025-09-21 20:37:50.415274,385.56,USD,8bcb856d-af23-4ff2-a9db-673b1bffed33,d62c4254-88d3-44b4-b869-8e86430d78f4,FI,ZW,Transfer,Desktop,8,244.23,1,0
2025-09-14 13:01:28.461780,914.62,USD,3123cc94-25e7-423f-80c7-e6ce3aad097e,797f854f-e2b1-4217-8645-77c28d03efb3,GT,BA,Payment,Tablet,4,837.24,1,0
2025-09-21 02:21:39.612385,554.41,USD,864247b5-f9de-49ac-a9f8-e2e1efad2f31,25b6a435-5036-48b0-8757-44b6bb95432d,SV,AM,Transfer,Mobile,7,645.74,1,0
2025-09-26 00:44:13.772963,86.52,USD,bee55868-0e23-425b-8d98-6cdf1c6404b9,c0705e5c-dcab-4b6d-add9-b06882c33ced,HR,MA,Transfer,Desktop,9,65.91,0,0
2025-09-28 23:58:12.420579,84.64,USD,d46fd47d-8547-456b-bc88-35f773a5ee87,b9196835-76e4-4e5f-9d87-5cecc8c8a42c,GM,SR,Payment,Tablet,9,60.01,0,0
2025-09-19 20:47:07.027060,697.52,USD,727202fb-f8b3-4531-af11-0d6f2c4497c0,764c587e-f34f-4460-8972-572f02bfc40b,LT,CR,Payment,Mobile,3,797.65,0,0
2025-09-19 06:01:03.366022,633.07,USD,b6f96dcf-1314-4a46-b7a7-62c4217f77fd,1f186d94-0fcf-4c84-b238-44c60e3fd195,PH,JP,Payment,Tablet,3,486.6,1,0
2025-09-02 08:43:32.416073,1097.74,USD,e6ad9738-eec2-46b4-a2b7-8925009142dd,b1fae9ef-42a5-449a-997d-b39a127722a5,EC,CZ,Transfer,Mobile,9,935.68,1,0
2025-09-11 15:12:44.804518,483.68,USD,e13bd660-e3cb-4cf2-ad37-9cf266258d56,c93cb805-c30e-4e0a-8068-3cadec1d7eea,GB,GQ,Transfer,Mobile,7,575.15,1,0
2025-09-11 03:35:38.001456,579.52,USD,2e5cb45e-511d-4e8e-98e3-5a2e76620d28,a0230281-5ccd-449d-95bc-4de127215c60,RW,AF,Transfer,Desktop,3,866.13,0,0
2025-09-23 10:22:05.487793,211.34,USD,d5ba32ca-5a85-4663-9b2b-d186591a6f0a,07eb30b0-81f9-4b45-9a4c-ebe1406f767d,MY,ZW,Transfer,Tablet,2,153.56,0,0
2025-09-20 04:21:00.787440,55.51,USD,8569ff85-7dfb-418a-9d91-47f627fb53ce,5f41d1ca-33b3-4496-8ac9-19af202b3131,CR,JO,Payment,Mobile,8,66.0,1,0
2025-09-14 13:17:45.901303,788.52,USD,47643176-6e9e-4f9b-80ba-e95f9a6689d0,866f21da-b309-4797-a9a9-29ad528043bd,PA,PH,Payment,Tablet,6,744.97,1,0
2025-09-19 02:04:47.664324,56.91,USD,8569ff85-7dfb-418a-9d91-47f627fb53ce,ed6450bd-c0a8-47eb-a4bd-bdd8783ae5c4,CR,LB,Payment,Desktop,10,65.47,1,0
2025-09-09 12:50:26.074094,77.28,USD,805e1a0b-6eac-45ee-8017-d43750c10236,060cbcb8-3893-4496-8518-b525800a02aa,LA,NP,Transfer,Mobile,5,76.81,0,0
2025-09-09 21:44:15.462021,735.93,USD,d96eeeac-1bdc-411e-bbe6-90be4e1f3822,527da008-f735-48be-8f4a-1bbecedd2058,CD,TT,Transfer,Desktop,9,655.46,1,0
2025-09-27 17:15:19.158393,972.97,USD,1237ac1b-3047-4720-9e92-e481a3787393,da1875d6-9b33-4c45-92ed-07bec68df90c,ML,LC,Payment,Desktop,4,905.23,0,0
2025-09-05 07:40:27.781592,377.73,USD,999ddc15-888d-4b36-8866-bcd94662a7b8,c279eca9-3d1e-405b-8b18-8e5a68c14a88,IQ,NA,Transfer,Desktop,2,204.09,0,0
2025-09-01 18:26:23.557102,632.03,USD,135330c9-d8bf-4b18-bd77-b6a940a2043e,8c4934a9-63b4-44aa-afcc-50a27708f78c,TG,TW,Transfer,Tablet,6,670.53,1,0
2025-09-23 11:40:34.170099,281.66,USD,1d55fa4a-25ab-4dc8-bdfb-be90e0687e77,92a0cbeb-f16a-46cb-a796-5f9ad9cdbaea,NP,SA,Payment,Desktop,7,292.04,1,0
